Value,Disaggregation combinations using this value,Number of indicators
0.000133498368,2,1
0.000216108,1,1
0.000285037056,1,1
0.000294508224,1,1
0.000416556,1,1
0.000441612,1,1
0.000441912672,1,1
0.000591797664,1,1
0.000645192,1,1
0.000726624,1,1
0.000745416,1,1
0.000757944,1,1
0.000773604,1,1
0.000786132,1,1
0.000836244,1,1
0.000875256192,1,1
0.000999433728,1,1
0.001045737216,1,1
0.001130652,1,1
0.0011500704,1,1
0.001153302624,1,1
0.001199556,1,1
0.001206296064,1,1
0.001249442496,1,1
0.00128650032,1,1
0.001293516,1,1
0.001476976032,1,1
0.01664817999,1,1
0.01708979199,1,1
0.01852404762,1,1
0.01965469962,1,1
0.02067403338,1,1
0.021673467108,1,1
0.02264841306,1,1
0.023694150276,1,1
0.02607826494,1,1
0.02736476526,1,1
0.02993606811,1,1
0.03077231211,1,1
0.03220301898,1,1
0.03530120841,1,1
0.03607481241,1,1
0.038049228105,1,1
0.038301975075,1,1
0.038768034555,1,1
0.03969763452,1,1
0.04271396181,1,1
0.04271662746,1,1
0.043329031035,1,1
0.04339047174,1,1
0.04347457146,1,1
0.043721001765,1,1
0.04375500066,1,1
0.04391351781,1,1
0.047588172333,1,1
0.048314796333,1,1
0.048901583076,1,1
0.049824989682,1,1
0.05131709427,1,1
0.05196228627,1,1
0.053016662445,1,1
0.05306386566,1,1
0.05435738166,1,1
0.0545321715,1,1
0.05620738158,1,1
0.05983688826,1,1
0.06029952882,1,1
0.060628854,1,1
0.060787479366,1,1
0.061171904745,1,1
0.061414986,1,1
0.06148613133,1,1
0.06170223933,1,1
0.06253914071565,1,1
0.063252240597,1,1
0.06355532118,1,1
0.06430073718,1,1
0.064846592931,1,1
0.065982257355,1,1
0.06693590085,1,1
0.0675467873025,1,1
0.068142196914,1,1
0.06820554825,1,1
0.06864365508,1,1
0.06907568484,1,1
0.069801958696,1,1
0.07384905355125,1,1
0.07415015961,1,1
0.0778677627,1,1
0.0779943255,1,1
0.078875361255,1,1
0.079021065324,1,1
0.0791443959,1,1
0.079484259,1,1
0.079782782148,1,1
0.08111398113,1,1
0.08153053713,1,1
0.081812712693,1,1
0.08234997124,1,1
0.085318415931,1,1
0.0856012244325,1,1
0.08649468693,1,1
0.0881624934,1,1
0.090851411336,1,1
0.0931278083925,1,1
0.09330379587,1,1
0.093720118275,1,1
0.09414801387,1,1
0.09563615414405,1,1
0.097196392675,1,1
0.0977985222848,1,1
0.0978491428384,1,1
0.09893784747,1,1
0.09920080678415,1,1
0.09934865640815,1,1
0.101023648755,1,1
0.102133592949,1,1
0.10240660792805,1,1
0.102835449697431,1,1
0.104706602352806,1,1
0.10532258685,1,1
0.105456085218,1,1
0.11219242359,1,1
0.11261801682,1,1
0.112634336262,1,1
0.112697252658,1,1
0.112887523804,1,1
0.113847603845702,1,1
0.11719925776,1,1
0.118573263096,1,1
0.119628294135,1,1
0.11974667788,1,1
0.12149510061,1,1
0.122086898274,1,1
0.12235531907,1,1
0.123183701805,1,1
0.1243864284385,1,1
0.12454809929,1,1
0.124653204136,1,1
0.12495354328,1,1
0.125549164776,1,1
0.1272060898152,1,1
0.12730319238,1,1
0.12740415497,1,1
0.128780168412,1,1
0.12891307682,1,1
0.12952569183,1,1
0.131608640235,1,1
0.13174685043,1,1
0.131880348798,1,1
0.13247992916,1,1
0.13294381649,1,1
0.1333468026,1,1
0.133812020875,1,1
0.13576724889,1,1
0.13659414299,1,1
0.13661417121,1,1
0.136632088308,1,1
0.136642505082,1,1
0.136896103115,1,1
0.13761590422,1,1
0.13812304506,1,1
0.138417553284,1,1
0.138906262514,1,1
0.14017047525,1,1
0.140303973618,1,1
0.14219847954,1,1
0.142483516596,1,1
0.14275817244,1,1
0.142791899042,1,1
0.142891670808,1,1
0.1473393891,1,1
0.148784378609,1,1
0.15024302162,1,1
0.15927373909,1,1
0.16376604616,1,1
0.16400114503,1,1
0.16794943687,1,1
0.168582067,1,1
0.17080696137,1,1
0.175797183088,1,1
0.1855299820295,1,1
0.1928290093225,1,1
0.30375310536,1,1
0.32236422909,1,1
0.3275333271,1,1
0.33073567386,1,1
0.3349713705,1,1
0.35072948847,1,1
0.377304658080001,1,1
0.37909602459,1,1
0.38712617502,1,1
0.3881552607,1,1
0.40404526194,1,1
0.40432629312,1,1
0.41673026088,1,1
0.4500081339,1,1
0.45889966845,1,1
0.4672247958,1,1
0.47621071818,1,1
0.47745654066,1,1
0.47747189307,1,1
0.47760008901,1,1
0.47873266407,1,1
0.48629943531,1,1
0.4897402815,1,1
0.49432176153,1,1
0.49617259305,1,1
0.50408307804,1,1
0.50676975771,1,1
0.52929408321815,1,1
0.534333646221,1,1
0.5402720946784,1,1
0.55615165653305,1,1
0.5605491678375,1,1
0.58925139312,1,1
0.59983566158405,1,1
0.629143491564801,1,1
0.639027662180703,1,1
0.649500646113681,1,1
0.649634144481681,1,1
0.66480694293,1,1
0.66579216419915,1,1
0.66817337964,1,1
0.668768428863456,1,1
0.6721524434764,1,1
0.67218575402615,1,1
0.674637619839,1,1
0.68912389911,1,1
0.69456920981705,1,1
0.69900561162,1,1
0.7030326844335,1,1
0.71246999784605,1,1
0.73008170643,1,1
0.739940645677,1,1
0.744483747398702,1,1
0.751230389838801,1,1
0.761614112785,1,1
0.77145324394,1,1
0.77399522424,1,1
0.77987341884,1,1
0.787743280707,1,1
0.7888216140052,1,1
0.788829216612,1,1
0.788962581566,1,1
0.792799701734,1,1
0.792993759811,1,1
0.794639788581,1,1
0.80243466928115,1,1
0.806052373556,1,1
0.806591333089,1,1
0.8072381841,1,1
0.808483916232,1,1
0.816465326155,1,1
0.818944348526,1,1
0.830285483365,1,1
0.83575398112,1,1
0.83605807704,1,1
0.839860745188,1,1
0.84746971989,1,1
0.849716660636,1,1
0.861135956725,1,1
0.86260166043,1,1
0.8679660099052,1,1
0.870822707815,1,1
0.873660853905,1,1
0.8835445323,1,1
0.949482067611,1,1
0.9686409136,1,1
1.001444353881,1,1
1.045891919731,1,1
1.088968975166,1,1
1.107306905731,1,1
1.1279217339405,1,1
1.130188369615,1,1
1.132443546626,1,1
1.1896239732705,1,1
1.211718906745,1,1
